replicate,root_seed,users,kind_users,controls,raw_gap_pp,raw_p_two_sided,fe_gap_pp,fe_p_two_sided,full_gap_pp,full_p_two_sided
69,20260826,497778,248889,248889,0.29450879709428696,1.9913583429624612e-50,0.2945087970942928,1.6275083434029177e-50,0.2497230479004497,1.5687859989901687e-36
70,20260826,497796,248898,248898,0.3113725301127369,4.0905147487779935e-57,0.31137253011273724,3.196744156153882e-57,0.27524027172379073,2.4201130361461318e-45
71,20260826,497788,248894,248894,0.32102019333531545,3.4513914062660364e-61,0.3210201933353151,2.6561506943893148e-61,0.2800366996804392,2.9738040561746e-47
72,20260826,497798,248899,248899,0.3081571239739814,8.47865602887923e-56,0.30815712397398104,6.743785853229243e-56,0.2696788515070954,2.5256017747491786e-43
73,20260826,497768,248884,248884,0.29009498400861444,9.133797578391692e-49,0.29009498400860256,7.586245040566419e-49,0.24555525679018794,2.0085905893427662e-35
74,20260826,497786,248893,248893,0.2949058430731278,1.4005133361159263e-50,0.2949058430731275,1.1461872255317648e-50,0.25457307639396215,2.742507735648759e-38
75,20260826,497784,248892,248892,0.2916927824116484,2.2946005059971674e-49,0.2916927824116493,1.8812638084866493e-49,0.24927756478888596,1.5277655887419073e-36
76,20260826,497794,248897,248897,0.31217732636391765,1.9029931703023038e-57,0.3121773263639145,1.482319726387485e-57,0.2729647982742627,1.920965545948644e-44
77,20260826,497788,248894,248894,0.31137753421135106,4.090474551204067e-57,0.31137753421134956,3.1974537492291586e-57,0.2719138035353911,2.432307511082743e-44
78,20260826,497788,248894,248894,0.3170024187003303,1.8123513443801567e-59,0.317002418700334,1.4080093667520195e-59,0.27607806172247684,1.677326286659169e-45
79,20260826,497790,248895,248895,0.30776030052833525,1.2344025583826433e-55,0.3077603005283418,9.7779055638469e-56,0.2687830432569446,5.602249852296006e-43
80,20260826,497792,248896,248896,0.2876703522756493,7.105326053272441e-48,0.2876703522756528,5.838575025701065e-48,0.24786308193477974,5.023794348131148e-36
81,20260826,497784,248892,248892,0.30013017694421673,1.35250139432513e-52,0.30013017694422084,1.0941034019382838e-52,0.2619085231186536,1.1202210054307986e-40
