model,estimand_class,variable,primary_term,status,coefficient_pp,se_pp,statistic,p_two_sided_approx,ci95_low_pp,ci95_high_pp,covariance,opportunities,collapsed_rows,chooser_clusters,rank
patron_by_five_bin_desert_gradient,appendix_secondary,disconnected_clock_180_plus,False,estimated,0.6862272722976286,0.05198215804950004,13.201207838354236,8.633947010881884e-40,0.5843441146819397,0.7881104299133175,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,disconnected_clock_30_60,False,estimated,-0.41386372506553926,0.05162668903552969,-8.016468473907297,1.0882884268128385e-15,-0.5150501762162263,-0.31267727391485217,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,disconnected_clock_60_180,False,estimated,-0.11688831968467639,0.05146124975447538,-2.2713851731615025,0.02312367118018573,-0.21775051580286883,-0.016026123566483946,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,disconnected_clock_missing,False,estimated,-0.6875377095780095,1.1739121105334904,-0.5856807365804877,0.5580900815549836,-2.988363167239054,1.6132877480830348,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_100_200,False,estimated,0.2875375548909753,0.010915790585727574,26.341431949686857,6.434217304001965e-153,0.26614299848016787,0.3089321113017828,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_200_plus,False,estimated,1.1626852864150625,0.02188946200648061,53.11621117370711,0.0,1.1197827292414027,1.2055878435887224,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_50_100,False,estimated,0.030118782573131497,0.007873183919520814,3.8254895199964563,0.00013051248683520147,0.014687625647210802,0.04554993949905219,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_lt_m200,False,estimated,2.8854328595403462,0.040963249334328114,70.43955024149633,0.0,2.805146366155329,2.9657193529253636,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_m100_m50,False,estimated,0.5346018951081444,0.009545648189146497,56.004776680958386,0.0,0.5158927684483272,0.5533110217679615,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_m200_m100,False,estimated,1.0465456182473867,0.015317478820495067,68.3236210418055,0.0,1.0165239114252613,1.076567325069512,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,rating_gap_m50_0,False,estimated,0.1752936475777398,0.005853167076885318,29.948512536057642,4.600563994420685e-197,0.163821650911549,0.1867656442439306,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,patron,True,estimated,4.973498727035407,0.2956546617551359,16.82198649434626,1.6841564376298207e-63,4.394026238133969,5.552971215936846,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,eval_disconnected_better,True,estimated,-1.6908274760665458,0.01804934577774752,-93.6780477745135,0.0,-1.726203543735441,-1.6554514083976506,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,eval_roughly_equal,True,estimated,-1.359041033751336,0.01542601896203111,-88.10056807893316,0.0,-1.3892754753417489,-1.328806592160923,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,eval_modestly_worse,True,estimated,-3.2086646445149927,0.015879048924633935,-202.06906973737176,0.0,-3.2397870085160245,-3.177542280513961,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,eval_clearly_worse,True,estimated,-4.200743443178713,0.01394956900908814,-301.1378660116259,0.0,-4.228084096036382,-4.173402790321044,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,patron_x_eval_disconnected_better,True,estimated,-2.2084853810882645,0.36996496799594736,-5.969444601880404,2.380625742474191e-09,-2.9336033939018353,-1.483367368274694,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,patron_x_eval_roughly_equal,True,estimated,-2.304233250223815,0.317481365449662,-7.257853534049893,3.9328105679524806e-13,-2.926485292267752,-1.6819812081798784,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,patron_x_eval_modestly_worse,True,estimated,-4.673543411421008,0.31435644838787147,-14.867019383214673,5.39628681239324e-50,-5.289670728569161,-4.057416094272855,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,patron_x_eval_clearly_worse,True,estimated,-5.231796624199635,0.2964974521300377,-17.645334172737094,1.1051855996906569e-69,-5.812920951882398,-4.6506722965168725,HC1,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,intercept,False,estimated,6.236422789522749,0.11514108092696612,54.16331633605651,0.0,6.010750417764883,6.462095161280614,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,tournament_like,False,estimated,-0.977827824927918,0.02932918698064203,-33.339752157920636,1.0255214209765198e-243,-1.0353119751058175,-0.9203436747500185,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2023_12,False,estimated,-0.038285935530812054,0.01954254645431402,-1.959106794005365,0.050100281324859254,-0.07658862274746847,1.6751685844362818e-05,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_01,False,estimated,-0.04586733616553573,0.020505631307811842,-2.2368165835529323,0.0252983302260436,-0.0860576350091039,-0.005677037321967553,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_02,False,estimated,-0.09247124027392317,0.02092680790583302,-4.41879338167711,9.925347866468091e-06,-0.13348703008074397,-0.051455450467102384,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_03,False,estimated,-0.11980462122707891,0.02076242257983961,-5.7702621534834595,7.91483055278328e-09,-0.16049822171536574,-0.07911102073879209,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_04,False,estimated,-0.13361394940636018,0.020987727187935498,-6.366289603915106,1.9365563053642508e-10,-0.17474913881206586,-0.0924787600006545,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_05,False,estimated,-0.14486741398582126,0.020964270867257374,-6.91020522025784,4.839530815381666e-12,-0.185956629847788,-0.10377819812385453,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_06,False,estimated,-0.18333939236961427,0.021236027390782026,-8.63341287877585,5.954801415107655e-18,-0.22496124123025313,-0.14171754350897542,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_07,False,estimated,-0.2039926822360627,0.021375254860258562,-9.543403508855059,1.3822002384624162e-21,-0.24588741192253424,-0.16209795254959117,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_08,False,estimated,-0.221274091950189,0.021607302395303056,-10.24070880769869,1.3027839393049972e-24,-0.26362362644804904,-0.17892455745232896,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_09,False,estimated,-0.20023290295748097,0.021674542235788175,-9.23816063929895,2.507708208874354e-20,-0.24271422512101806,-0.15775158079394389,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_10,False,estimated,-0.1702708148443044,0.021368751455486605,-7.9682154195576995,1.6098207178669296e-15,-0.212152798091646,-0.1283888315969628,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_11,False,estimated,-0.1903788017498016,0.0216067218590133,-8.811091427568156,1.2393323409971372e-18,-0.232727198417442,-0.1480304050821612,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2024_12,False,estimated,-0.1326387290032578,0.021333226138502248,-6.217471663316368,5.052293618327818e-10,-0.17445108390877068,-0.0908263740977449,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2025_01,False,estimated,-0.08408249285908553,0.021597124030410187,-3.8932263731361543,9.891976560362601e-05,-0.12641207812833405,-0.04175290758983703,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2025_02,False,estimated,-0.0895329937291045,0.021984058112606654,-4.072632690038343,4.6484701861880034e-05,-0.13262095586384914,-0.046445031594359865,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2025_03,False,estimated,-0.07238723674382541,0.021666800580897694,-3.3409287390425724,0.0008349865120652777,-0.11485338554259641,-0.02992108794505441,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2025_04,False,estimated,-0.0805561330352198,0.02189061559344281,-3.67993913608121,0.00023328962780880778,-0.12346095119777861,-0.03765131487266099,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2025_05,False,estimated,-0.12936918464418312,0.02174498126791155,-5.949381287124378,2.6915797408865205e-09,-0.17198856477378788,-0.08674980451457837,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2025_06,False,estimated,-0.08105611777041233,0.02209679805649823,-3.6682291055547447,0.0002442362842162907,-0.12436504613480352,-0.037747189406021134,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2025_07,False,estimated,-0.1103754676229336,0.022089397915220705,-4.996762159229308,5.830090020631724e-07,-0.15366989197694034,-0.06708104326892686,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2025_08,False,estimated,-0.15333008393724867,0.02181489940004069,-7.028686271959736,2.0848715934489007e-12,-0.19608650108769285,-0.1105736667868045,CR1_chooser,32858962,29562512,1305683,55
